datetime,open,high,low,close,volume
2004-10-31,14.42,17.61,14.0,17.4,7550302
2004-11-07,17.13,24.41,16.5,21.4,4456550
2004-11-14,21.65,23.25,19.49,21.18,2254170
2004-11-21,21.13,22.99,20.25,21.0,893539
2004-11-28,21.7,22.87,19.25,21.44,1585907
2004-12-05,21.66,22.07,18.54,20.41,965074
2004-12-12,20.16,20.37,15.67,15.91,1502415
2004-12-19,16.25,17.46,15.85,17.19,409640
2004-12-26,17.19,17.31,16.32,16.95,255241
2005-01-02,16.75,17.15,15.22,15.51,480404
2005-01-09,15.5,16.01,14.95,15.08,294256
2005-01-16,15.35,15.45,13.61,14.54,261715
2005-01-23,14.15,15.27,14.1,14.23,160948
2005-01-30,14.1,14.41,10.83,11.56,1129622
2005-02-06,11.25,13.0,11.25,12.48,1178945
2005-02-13,12.55,14.05,12.04,13.16,601349
2005-02-20,13.3,13.3,12.05,12.48,253551
2005-02-27,12.57,12.57,11.35,11.43,315893
2005-03-06,11.5,11.69,10.66,11.04,267094
2005-03-13,11.0,11.31,10.82,10.88,431117
2005-03-20,10.92,11.1,10.28,10.39,177952
2005-03-27,10.26,12.99,9.18,12.86,1007014
2005-04-03,13.03,13.03,11.75,11.97,514987
2005-04-10,12.0,13.93,12.0,13.59,608998
2005-04-17,13.82,14.35,12.8,12.8,1533283
2005-04-24,12.85,13.0,11.86,12.25,779015
2005-05-01,12.32,12.69,10.65,11.23,2317918
2005-05-08,11.11,11.25,10.22,10.27,1389609
2005-05-15,10.2,10.9,9.49,9.86,919909
2005-05-22,9.83,11.1,9.83,10.35,888043
2005-05-29,10.48,10.48,9.49,10.28,735890
2005-06-05,10.18,10.43,9.84,10.26,576817
2005-06-12,10.22,11.7,10.22,11.45,1046899
2005-06-19,11.64,11.77,10.51,11.5,2341201
2005-06-26,11.64,11.72,10.79,11.01,1378531
2005-07-03,10.92,11.16,10.2,10.5,1134598
2005-07-10,10.6,11.96,10.51,10.86,883448
2005-07-17,10.86,11.48,10.71,11.4,521005
2005-07-24,11.29,11.29,10.56,10.95,403246
2005-07-31,10.98,11.02,10.53,10.6,482557
2005-08-07,10.03,11.08,9.81,10.03,651146
2005-08-14,10.07,10.36,9.85,10.06,352130
2005-08-21,10.16,11.49,9.95,11.02,575078
2005-08-28,10.92,11.41,10.84,11.05,351119
2005-09-04,11.02,11.65,10.88,11.31,203548
2005-09-11,11.4,12.47,11.07,11.7,562593
2005-09-18,11.67,13.38,11.67,13.13,743020
2005-09-25,13.22,14.55,13.17,13.69,856460
2005-10-02,13.55,13.55,12.15,12.44,583361
2005-10-09,12.37,12.97,11.56,12.02,346886
2005-10-16,11.92,12.53,10.9,12.25,334211
2005-10-23,12.3,12.8,11.9,12.25,626117
2005-10-30,12.36,12.65,11.53,12.05,668980
2005-11-06,12.11,12.75,11.52,12.07,525351
2005-11-13,12.1,12.3,10.85,11.88,460767
2005-11-20,11.83,12.67,11.65,12.45,295058
2005-11-27,12.45,12.6,11.3,11.73,661482
2005-12-04,11.68,11.86,10.92,11.55,498084
2005-12-11,11.58,11.86,10.65,11.15,1096557
2005-12-18,11.12,11.41,10.51,10.98,584059
2005-12-25,11.0,11.49,10.52,11.41,520673
2006-01-01,11.43,11.5,10.46,11.24,622594
2006-01-08,11.12,12.27,11.12,11.75,738879
2006-01-15,11.73,11.73,10.94,11.06,241266
2006-01-22,11.06,12.58,10.94,12.52,550175
2006-01-29,12.51,13.37,12.1,12.6,720833
2006-02-05,12.47,13.4,11.94,13.07,874648
2006-02-12,13.05,13.18,12.48,12.84,776256
2006-02-19,12.8,13.3,12.37,12.73,350094
2006-02-26,12.68,13.77,12.68,12.91,540910
