datetime,open,high,low,close,volume
2002-05-19,17.21,17.4,16.04,16.95,7274700
2002-05-26,16.99,17.25,15.0,15.06,1994000
2002-06-02,15.12,17.25,15.07,15.66,775700
2002-06-09,15.89,16.64,13.72,13.81,688100
2002-06-16,14.19,14.83,11.79,13.71,2059600
2002-06-23,13.71,14.26,12.9,13.99,1290300
2002-06-30,14.0,18.19,13.9,17.87,1407400
2002-07-07,17.53,17.92,15.6,16.91,778100
2002-07-14,17.4,17.48,15.06,16.25,806900
2002-07-21,15.9,16.99,11.9,12.25,1286289
2002-07-28,12.55,13.44,9.89,11.0,1389807
2002-08-04,10.9,11.5,10.4,11.02,857800
2002-08-11,11.24,12.94,10.55,12.78,837063
2002-08-18,12.95,13.99,12.85,13.8,856157
2002-08-25,13.95,13.95,11.54,13.11,939700
2002-09-01,13.11,13.49,12.71,12.8,207120
2002-09-08,12.87,13.67,12.1,12.3,705172
2002-09-15,12.49,12.49,9.8,9.92,1060360
2002-09-22,10.0,10.98,9.65,10.08,1313509
2002-09-29,9.9,10.1,6.26,6.5600000000000005,2482294
2002-10-06,6.3,7.4,4.85,6.59,3553903
2002-10-13,6.5,10.3,6.2,9.56,3101590
2002-10-20,8.94,9.59,7.75,9.0,1592914
2002-10-27,9.3,9.9,8.5,8.94,790126
2002-11-03,9.0,9.84,7.75,8.55,1337777
2002-11-10,8.49,9.15,7.78,9.1,599491
2002-11-17,9.09,11.2,8.73,11.01,4111700
2002-11-24,10.91,11.15,10.4,10.8,540816
2002-12-01,10.4,12.1,9.75,10.95,1436031
2002-12-08,11.14,13.0,10.69,12.5,1038580
2002-12-15,12.63,12.99,10.2,10.68,1546632
2002-12-22,10.19,10.65,9.59,9.67,972476
2002-12-29,9.85,12.6,9.6,10.8,1725687
2003-01-05,11.0,12.7,10.67,12.39,1282556
2003-01-12,12.01,13.39,11.05,11.44,2540136
2003-01-19,11.57,12.68,11.1,12.33,1523194
2003-01-26,12.1,13.25,11.72,13.22,1181766
2003-02-02,13.14,13.18,11.54,12.19,1090850
2003-02-09,12.23,14.28,12.15,14.22,2003418
2003-02-16,14.31,15.75,14.04,14.9,1411418
2003-02-23,14.34,17.2,13.51,17.15,3183247
2003-03-02,16.91,17.08,15.54,16.09,2050078
2003-03-09,15.98,16.95,14.9,16.53,1876651
2003-03-16,16.58,19.69,15.66,18.63,5144927
2003-03-23,18.27,22.33,17.75,21.05,6055005
2003-03-30,20.2,21.1,18.56,19.51,3967916
2003-04-06,20.2,21.7,19.1,20.72,2139688
2003-04-13,20.31,22.0,19.72,21.97,1903988
2003-04-20,23.7,24.69,20.05,21.16,10587349
2003-04-27,21.0,23.28,21.0,22.63,5310110
2003-05-04,22.42,24.39,22.3,22.62,3482361
2003-05-11,22.89,25.93,22.7,23.79,4472363
2003-05-18,23.3,23.42,20.53,22.12,4953190
2003-05-25,22.05,23.45,21.75,22.55,2683387
2003-06-01,22.51,26.35,22.51,23.47,4657349
2003-06-08,23.62,23.69,18.05,19.27,11189770
2003-06-15,19.44,22.55,19.4,21.7,5620441
2003-06-22,21.56,25.89,21.23,24.96,7129906
2003-06-29,25.09,27.9,24.26,27.75,5267231
2003-07-06,27.5,28.6,26.02,26.38,3619540
2003-07-13,26.64,28.55,22.55,24.15,5996379
2003-07-20,24.16,27.35,22.97,27.02,3917606
2003-07-27,26.55,27.47,24.84,24.95,2121033
2003-08-03,24.95,25.45,22.6,23.5,1708811
2003-08-10,23.35,25.48,23.34,24.99,1838863
2003-08-17,25.1,29.72,24.39,28.8,4756016
2003-08-24,28.51,33.78,27.25,33.25,5177802
2003-08-31,33.23,35.44,32.75,34.57,5237478
