datetime,open,high,low,close,volume
1997-12-28,50.75,50.75,48.5,49.0,847403
1998-01-04,46.88,50.38,46.0,47.5,5611814
1998-01-11,46.25,50.01,45.12,46.63,3637706
1998-01-18,46.75,51.38,46.5,48.25,3080009
1998-01-25,48.5,49.88,46.63,47.81,2380914
1998-02-01,48.63,50.0,47.75,49.0,2574113
1998-02-08,49.38,50.13,48.25,48.25,2857906
1998-02-15,48.5,50.01,48.25,49.75,1802601
1998-02-22,49.88,52.69,49.37,51.62,2955324
1998-03-01,51.75,53.38,49.75,51.5,2548006
1998-03-08,51.5,56.0,51.12,54.0,2564302
1998-03-15,54.13,56.13,52.31,54.25,3019111
1998-03-22,54.19,59.75,53.5,56.87,2828409
1998-03-29,57.0,58.88,56.62,58.44,1978800
1998-04-05,59.0,59.13,55.38,58.75,2715606
1998-04-12,58.94,58.94,56.25,57.0,1582705
1998-04-19,57.0,57.88,53.5,54.5,1321704
1998-04-26,53.75,56.5,50.94,55.5,2759910
1998-05-03,55.88,57.5,52.25,54.06,1720802
1998-05-10,53.63,55.63,52.75,53.57,1335602
1998-05-17,53.75,54.5,52.38,53.13,1370500
1998-05-24,36.25,36.38,33.13,35.94,1889302
1998-05-31,36.13,38.88,35.75,37.5,3088110
1998-06-07,37.5,38.63,37.19,37.5,2677503
1998-06-14,37.25,40.81,36.5,39.88,2181508
1998-06-21,40.25,45.01,40.0,43.56,2575808
1998-06-28,43.75,45.01,39.75,44.5,6081435
1998-07-05,44.0,44.01,41.5,41.75,2825002
1998-07-12,42.0,44.25,40.81,43.0,3155306
1998-07-19,42.75,43.06,39.75,41.75,2393707
1998-07-26,41.5,44.25,40.37,40.56,2201206
1998-08-02,41.0,42.51,38.0,41.0,2469900
1998-08-09,40.81,43.82,38.37,40.88,2114103
1998-08-16,41.0,44.01,40.25,40.88,2392700
1998-08-23,41.25,41.38,37.94,39.06,3978605
1998-08-30,39.63,41.63,36.75,41.0,4913409
1998-09-06,42.0,43.75,40.13,41.07,3993900
1998-09-13,41.25,45.13,41.0,44.38,5191721
1998-09-20,43.0,48.81,42.62,46.0,7422223
1998-09-27,46.25,52.01,40.87,45.38,23743840
1998-10-04,44.63,46.25,39.5,42.5,8740120
1998-10-11,44.0,46.5,41.88,43.56,4478009
1998-10-18,44.5,47.5,43.56,46.0,3360222
1998-10-25,46.5,51.38,46.37,49.63,3990523
1998-11-01,51.13,51.88,49.0,51.38,5309700
1998-11-08,51.38,53.69,50.0,53.38,2844300
1998-11-15,53.88,54.01,51.5,53.44,4168800
1998-11-22,53.69,55.06,52.25,52.31,1947300
1998-11-29,52.25,52.32,47.25,50.88,4119100
1998-12-06,51.06,53.0,48.0,48.25,3171200
1998-12-13,48.63,50.06,45.5,48.94,7431500
1998-12-20,49.25,51.31,47.87,49.31,2922200
1998-12-27,50.25,51.57,49.75,51.44,2070600
1999-01-03,51.75,51.75,48.87,50.85,3965600
1999-01-10,51.0,51.38,44.62,45.13,3934900
1999-01-17,49.0,49.13,44.82,46.32,4366100
1999-01-24,46.5,48.5,44.12,48.5,4492600
1999-01-31,48.88,49.01,44.63,45.31,4638200
1999-02-07,44.75,46.88,41.87,44.72,5905500
1999-02-14,45.06,46.01,41.0,41.44,5592200
1999-02-21,41.38,44.13,41.12,42.38,7583200
1999-02-28,42.19,43.63,36.25,43.06,22255900
1999-03-07,43.06,46.63,42.5,46.31,9037400
1999-03-14,46.25,50.63,45.13,49.25,15010000
1999-03-21,49.44,49.44,45.5,47.0,5552200
1999-03-28,47.13,48.5,46.75,48.01,2394600
1999-04-04,48.0,50.76,46.25,49.07,5389200
1999-04-11,48.75,52.13,48.0,51.0,3955100
1999-04-18,51.0,54.19,49.06,53.0,4230800
1999-04-25,53.44,55.01,49.63,50.94,3198900
1999-05-02,51.06,51.07,47.5,48.44,4989000
1999-05-09,48.75,49.5,46.37,47.81,3710100
1999-05-16,47.25,47.88,44.5,44.69,4137900
1999-05-23,30.5,30.51,27.0,29.76,7689800
1999-05-30,29.25,29.51,27.5,27.75,5976700
1999-06-06,28.38,28.38,26.0,26.19,10728200
1999-06-13,25.94,29.37,25.5,28.81,11147200
1999-06-20,28.81,32.51,28.0,31.13,11344900
1999-06-27,31.75,32.51,29.63,32.12,7526900
1999-07-04,32.06,33.13,30.13,33.13,5893100
1999-07-11,33.0,33.13,30.06,31.88,7557600
1999-07-18,32.0,32.88,30.31,31.32,4303300
1999-07-25,31.0,31.31,27.56,28.0,6124400
1999-08-01,28.0,29.13,25.88,26.87,9218200
1999-08-08,27.13,27.76,23.57,27.57,14260000
1999-08-15,27.56,28.38,25.87,27.75,6884900
1999-08-22,27.81,29.76,26.5,26.94,7793700
1999-08-29,26.94,30.38,25.94,30.19,7410800
1999-09-05,29.69,30.88,28.5,30.62,4471000
1999-09-12,30.25,32.94,30.0,32.5,8386500
1999-09-19,32.75,33.76,31.38,32.13,6239200
1999-09-26,32.63,34.51,31.69,32.63,5950400
1999-10-03,33.25,37.01,32.94,36.88,7918100
1999-10-10,36.63,37.38,34.5,34.94,5196700
1999-10-17,34.81,38.76,32.75,38.07,7024400
1999-10-24,37.63,41.07,36.13,39.44,7681700
1999-10-31,39.5,42.88,39.25,41.31,5552200
1999-11-07,40.94,44.88,40.0,42.07,6850500
1999-11-14,42.06,43.94,38.75,41.0,6436600
1999-11-21,40.5,42.51,39.12,40.25,4840300
1999-11-28,39.5,43.82,38.62,43.32,5527200
1999-12-05,43.0,43.79,39.37,40.69,4838700
1999-12-12,40.75,41.31,38.12,40.75,5879200
1999-12-19,41.06,43.0,40.56,41.5,3756200
1999-12-26,42.31,43.13,39.75,40.0,4244100
2000-01-02,40.0,41.44,36.25,41.44,8981300
2000-01-09,42.0,47.01,39.62,45.38,7258500
2000-01-16,44.88,47.88,43.5,45.81,6059700
2000-01-23,45.69,45.75,39.13,42.0,12614000
2000-01-30,42.06,44.88,42.0,42.51,5280200
2000-02-06,42.38,45.94,41.43,42.37,5455600
2000-02-13,43.0,48.63,42.62,45.81,6742500
2000-02-20,45.69,51.38,43.69,47.38,6450900
2000-02-27,47.63,51.38,46.31,48.91,7511500
2000-03-05,48.38,51.94,46.18,50.88,5453400
2000-03-12,49.94,51.94,45.37,50.75,8712700
2000-03-19,50.06,54.94,49.75,51.57,9321300
2000-03-26,51.44,54.85,50.75,52.38,7484500
2000-04-02,52.25,53.88,46.69,51.31,10794100
2000-04-09,51.06,55.19,46.87,48.0,10939400
2000-04-16,47.5,53.0,47.5,50.69,7115300
2000-04-23,50.28,55.5,49.87,52.62,9000300
