datetime,open,high,low,close,volume
2008-03-30,52.4,54.7,49.01,51.32,63832643
2008-04-06,51.6,51.6,48.08,48.36,44362353
2008-04-13,48.17,50.94,47.43,49.94,40776561
2008-04-20,50.24,52.43,49.13,51.3,35531683
2008-04-27,50.94,52.2,50.26,50.94,36808361
2008-05-04,51.0,52.46,50.63,51.76,30728963
2008-05-11,51.98,53.5,51.3,53.3,29631941
2008-05-18,53.49,53.95,51.75,51.83,27067978
2008-05-25,51.92,52.99,50.83,52.59,30594768
2008-06-01,52.15,52.7,50.4,50.45,33879868
2008-06-08,50.95,51.88,48.53,51.6,41716268
2008-06-15,51.17,51.17,49.7,50.2,37922857
2008-06-22,50.33,52.75,49.22,49.8,43123432
2008-06-29,49.8,51.51,48.73,51.47,30458381
2008-07-06,51.47,54.43,51.1,53.31,44839312
2008-07-13,53.26,53.89,50.12,50.75,38047446
2008-07-20,50.82,53.55,50.06,53.0,34122369
2008-07-27,52.78,54.02,51.34,52.08,32535762
2008-08-03,52.1,56.15,51.28,55.15,43489377
2008-08-10,55.01,56.26,54.64,55.53,29763133
2008-08-17,55.66,55.7,53.55,55.49,21498832
2008-08-24,55.3,55.66,53.55,53.76,19732351
2008-08-31,53.75,55.48,53.21,54.01,26514285
2008-09-07,54.0,55.73,53.25,53.72,42306559
2008-09-14,53.14,54.25,48.06,51.73,70918825
2008-09-21,50.81,52.0,48.95,50.94,41471266
2008-09-28,50.69,51.95,47.35,49.82,53662236
2008-10-05,48.44,49.5,33.3,40.58,92734121
2008-10-12,42.5,46.98,39.4,43.31,72694084
2008-10-19,43.77,45.09,39.0,40.27,54263661
2008-10-26,40.02,44.32,38.21,43.66,46856736
2008-11-02,43.23,46.47,40.36,42.2,39092073
2008-11-09,42.88,43.27,37.01,38.36,48045711
2008-11-16,37.17,39.98,36.0,38.17,69839177
2008-11-23,38.99,43.31,38.24,41.22,38964336
2008-11-30,40.91,42.4,39.0,42.25,47401409
2008-12-07,43.25,43.5,40.2,41.32,45084363
2008-12-14,41.05,42.99,40.0,41.81,55260103
2008-12-21,41.91,42.93,41.35,42.41,21454321
2008-12-28,42.5,45.0,42.02,44.02,27811220
2009-01-04,43.79,45.02,42.0,42.31,42055845
2009-01-11,42.31,43.03,40.66,42.02,42973187
2009-01-18,41.98,42.86,39.75,41.16,34064554
2009-01-25,41.32,42.38,36.99,37.21,48928571
2009-02-01,36.68,38.71,35.15,36.81,66915661
2009-02-08,36.77,37.03,35.68,35.95,50267451
2009-02-15,35.32,36.04,34.5,35.65,46558348
2009-02-22,36.07,36.07,33.42,33.45,57421795
2009-03-01,32.79,33.72,32.04,33.36,72727077
2009-03-08,33.0,36.15,32.96,36.03,44787984
2009-03-15,36.22,39.26,36.17,38.38,57159007
2009-03-22,38.65,39.28,37.27,37.57,43348028
2009-03-29,37.49,37.88,35.15,36.25,52349997
2009-04-05,36.29,38.96,35.97,37.72,30022124
2009-04-12,37.51,38.17,35.91,37.34,35978646
2009-04-19,36.88,37.96,36.03,37.43,40104909
2009-04-26,36.97,37.65,36.18,37.18,43653677
2009-05-03,37.28,41.66,37.18,41.1,45862829
2009-05-10,40.52,43.33,40.05,43.21,43951530
2009-05-17,43.44,43.73,41.98,42.72,36718627
2009-05-24,42.46,42.88,41.32,42.68,29858097
2009-05-31,42.68,45.44,42.68,44.12,37545454
2009-06-07,43.78,44.99,42.79,43.53,35590683
2009-06-14,43.09,43.58,41.82,42.07,43347645
