datetime,open,high,low,close,volume
1997-12-28,18.75,18.75,18.75,18.75,1800
1998-01-04,18.5,19.94,18.38,19.75,298800
1998-01-11,19.0,19.63,18.75,19.0,50300
1998-01-18,19.5,20.25,19.25,19.69,27200
1998-01-25,20.25,21.0,19.75,20.75,116500
1998-02-01,21.0,21.0,20.0,20.25,256600
1998-02-08,20.0,23.13,20.0,22.75,122000
1998-02-15,22.75,23.5,21.25,21.5,92200
1998-02-22,21.75,23.13,21.75,22.88,74400
1998-03-01,23.0,23.25,22.25,23.25,57900
1998-03-08,23.13,23.5,22.75,23.13,224200
1998-03-15,22.75,23.25,22.5,22.63,105200
1998-03-22,22.88,22.88,22.5,22.81,100600
1998-03-29,22.75,22.75,22.0,22.13,92000
1998-04-05,22.0,23.25,22.0,23.25,83100
1998-04-12,22.88,23.25,22.25,22.63,263300
1998-04-19,22.5,24.0,22.5,23.5,40100
1998-04-26,23.5,23.75,22.5,23.75,83400
1998-05-03,24.0,25.38,23.63,24.38,132000
1998-05-10,25.0,25.0,24.25,24.63,168400
1998-05-17,24.75,24.76,24.5,24.75,126000
1998-05-24,24.5,24.75,23.75,24.06,104500
1998-05-31,24.06,24.06,22.75,23.63,64000
1998-06-07,23.75,24.75,23.75,24.13,33500
1998-06-14,24.38,25.25,24.13,24.75,83700
1998-06-21,24.25,24.75,23.5,24.25,137400
1998-06-28,24.5,25.0,23.75,24.0,116800
1998-07-05,24.5,24.5,23.25,24.0,79600
1998-07-12,24.0,24.25,23.75,24.0,60600
1998-07-19,23.88,24.25,23.62,24.0,144700
1998-07-26,16.0,16.25,14.88,14.88,209100
1998-08-02,14.75,15.0,13.75,14.75,128300
1998-08-09,14.38,14.75,14.13,14.75,219200
1998-08-16,14.63,15.75,14.63,15.25,109700
1998-08-23,15.0,15.5,12.0,12.5,150700
1998-08-30,12.75,13.0,12.25,12.25,69800
1998-09-06,12.31,12.63,12.25,12.44,208300
1998-09-13,12.38,13.0,12.0,12.38,177000
1998-09-20,12.25,13.0,12.13,13.0,195900
1998-09-27,13.0,13.01,12.5,13.0,59100
1998-10-04,12.5,12.5,9.0,10.16,104500
1998-10-11,10.19,11.5,10.19,11.5,89800
1998-10-18,11.5,13.38,11.5,13.0,54400
1998-10-25,13.0,14.75,12.75,13.88,133400
1998-11-01,13.94,14.63,13.69,14.63,37400
1998-11-08,14.63,15.0,14.13,14.5,63100
1998-11-15,14.63,15.0,14.5,14.88,46500
1998-11-22,15.0,15.25,14.63,14.88,15300
1998-11-29,14.88,15.51,14.88,15.5,153400
1998-12-06,15.5,15.75,15.0,15.0,96800
1998-12-13,15.44,15.5,14.25,14.25,128500
1998-12-20,14.25,15.88,14.0,15.0,126800
1998-12-27,15.0,15.13,14.38,15.13,146500
1999-01-03,15.13,15.13,14.0,14.75,191200
1999-01-10,14.75,15.13,14.5,14.63,376900
1999-01-17,15.0,15.13,14.75,15.0,188200
1999-01-24,14.75,15.5,14.75,15.25,140300
1999-01-31,15.5,15.63,14.75,15.0,97700
1999-02-07,15.13,15.13,13.75,14.06,66900
1999-02-14,14.13,14.25,13.75,13.75,50100
1999-02-21,14.25,14.63,13.0,14.38,414000
1999-02-28,14.25,14.25,13.5,14.0,80300
1999-03-07,13.88,14.01,13.5,14.0,139400
1999-03-14,13.63,14.0,12.37,13.0,461300
1999-03-21,13.13,13.75,12.5,13.5,151100
1999-03-28,14.0,14.5,13.5,14.13,107000
1999-04-04,14.56,14.56,14.06,14.5,42500
1999-04-11,14.63,15.06,14.25,14.5,101700
1999-04-18,14.38,18.13,14.25,18.13,1171600
1999-04-25,18.25,18.5,17.88,18.38,409300
1999-05-02,18.94,19.13,17.81,17.81,300000
1999-05-09,18.0,19.0,17.25,18.63,60500
1999-05-16,18.63,18.63,17.5,18.25,553100
1999-05-23,18.38,19.13,17.75,19.13,155900
1999-05-30,19.0,20.51,19.0,19.63,336700
1999-06-06,19.88,20.25,19.75,20.25,259600
1999-06-13,20.38,22.75,20.38,22.75,601400
1999-06-20,22.75,24.56,22.57,23.88,483900
1999-06-27,24.5,26.25,23.94,25.51,868500
1999-07-04,25.25,26.13,24.57,24.94,205200
1999-07-11,25.0,25.25,22.37,23.63,239800
1999-07-18,23.63,23.88,22.38,23.88,455800
1999-07-25,23.5,23.88,22.44,22.88,328100
1999-08-01,23.13,24.01,22.94,23.5,365200
1999-08-08,23.44,23.5,22.59,22.59,114300
1999-08-15,22.5,22.63,20.06,22.13,191400
1999-08-22,22.19,22.63,22.0,22.25,40500
1999-08-29,22.25,24.5,22.06,24.13,62900
1999-09-05,23.69,24.63,23.38,23.44,34500
1999-09-12,23.25,23.38,21.94,22.69,629600
1999-09-19,22.5,23.25,22.0,22.63,146500
1999-09-26,22.69,23.75,22.63,23.63,94600
1999-10-03,23.44,24.25,23.25,23.5,103500
1999-10-10,23.88,23.88,22.12,22.5,259300
1999-10-17,22.44,23.0,22.19,22.44,249800
1999-10-24,22.38,22.76,22.38,22.69,108100
1999-10-31,22.5,23.25,22.25,23.19,239100
1999-11-07,23.06,26.51,23.0,24.94,119500
1999-11-14,24.94,24.94,22.87,23.19,81800
1999-11-21,23.25,25.0,23.25,24.25,79500
1999-11-28,24.5,24.5,23.12,23.38,87500
1999-12-05,23.5,25.0,23.25,24.32,107800
1999-12-12,24.44,25.38,23.87,24.81,515900
1999-12-19,24.66,27.5,24.63,27.5,128200
