datetime,open,high,low,close,volume
2012-04-29,33.74,34.1,30.12,30.19,38149694
2012-05-06,30.1,33.35,28.75,31.87,49282395
2012-05-13,31.19,32.39,30.76,31.38,30819711
2012-05-20,31.23,32.34,30.6,31.27,22283097
2012-05-27,31.28,31.72,29.38,29.91,19950206
2012-06-03,29.31,32.75,29.25,32.16,25925719
2012-06-10,32.45,34.91,32.23,34.91,25605071
2012-06-17,34.38,34.85,33.03,34.19,19529273
2012-06-24,33.69,33.98,31.29,33.26,16069545
2012-07-01,33.59,34.63,32.92,33.38,11227670
2012-07-08,33.08,35.08,32.35,34.93,14982286
2012-07-15,34.69,37.67,34.56,35.32,17086350
2012-07-22,34.79,36.91,34.5,36.56,16740954
2012-07-29,36.86,40.18,36.83,39.68,22974122
2012-08-05,39.94,40.83,39.46,39.98,15391145
2012-08-12,39.86,42.93,39.77,42.76,17266508
2012-08-19,42.87,43.45,40.42,41.36,15296797
2012-08-26,41.43,43.0,40.9,41.98,15862398
2012-09-02,42.07,44.31,41.43,44.24,11330830
2012-09-09,44.28,48.22,43.93,46.73,25514690
2012-09-16,46.17,47.09,44.44,46.84,20683327
2012-09-23,46.69,47.3,45.23,46.31,13511130
2012-09-30,46.6,47.68,45.0,46.02,23064133
2012-10-07,45.96,46.76,42.45,43.93,22531056
2012-10-14,43.85,47.22,43.41,44.62,16612852
2012-10-21,44.73,47.62,43.93,47.52,18658134
2012-10-28,47.82,48.4,46.07,46.21,10939157
2012-11-04,46.23,51.0,46.23,47.42,25731749
2012-11-11,47.43,48.12,44.94,45.77,16172107
2012-11-18,46.4,50.0,46.38,49.7,12239740
2012-11-25,49.55,52.53,49.01,52.34,19946398
2012-12-02,52.65,52.76,50.27,52.36,18485644
2012-12-09,52.21,54.33,51.24,53.5,28049765
2012-12-16,53.56,53.86,51.33,52.16,20755480
2012-12-23,52.22,52.62,50.4,50.58,8507896
2012-12-30,50.41,55.31,50.4,53.12,17146128
2013-01-06,52.48,52.48,50.36,50.59,21044024
2013-01-13,50.67,55.83,50.12,55.07,26735415
2013-01-20,55.24,56.95,53.97,56.8,15566857
2013-01-27,57.09,63.25,56.5,62.76,28317527
2013-02-03,62.13,65.25,60.71,64.01,19843053
2013-02-10,64.0,65.38,63.53,64.19,15218300
2013-02-17,64.02,64.95,61.22,64.12,14127427
2013-02-24,64.49,64.74,59.93,63.89,16650288
2013-03-03,63.84,66.98,63.54,66.02,16744439
2013-03-10,65.9,66.4,63.94,64.2,20968400
2013-03-17,63.32,68.44,63.01,67.56,17540484
2013-03-24,67.94,70.52,66.37,69.92,15490192
2013-03-31,70.0,70.2,60.2,62.29,32447513
2013-04-07,62.29,65.23,59.07,60.64,26158837
2013-04-14,59.42,59.99,56.13,57.84,25837565
2013-04-21,58.13,63.09,58.07,61.62,19982561
2013-04-28,61.75,62.66,59.16,62.15,21790159
2013-05-05,62.55,65.34,61.0,61.35,19241490
2013-05-12,61.13,65.92,60.39,65.46,23180711
2013-05-19,65.32,66.85,63.8,65.46,17040651
