datetime,open,high,low,close,volume
1997-12-28,36.63,36.88,36.13,36.32,76100
1998-01-04,36.13,36.63,34.0,36.06,1500400
1998-01-11,35.25,37.25,34.75,36.63,1587700
1998-01-18,37.0,37.0,33.75,34.06,2270800
1998-01-25,34.0,34.0,32.13,32.5,2745700
1998-02-01,33.13,36.38,32.88,35.31,2392401
1998-02-08,35.31,36.19,34.62,35.75,2899500
1998-02-15,36.0,38.01,35.43,37.69,2344001
1998-02-22,37.63,39.76,37.63,39.44,2025400
1998-03-01,39.5,39.51,37.75,38.0,2050000
1998-03-08,37.75,41.51,37.5,41.25,2115500
1998-03-15,41.25,42.38,39.88,41.69,2909302
1998-03-22,41.69,42.13,40.75,41.88,2784800
1998-03-29,41.69,46.26,41.44,46.13,2633902
1998-04-05,46.13,46.26,44.75,45.06,1568901
1998-04-12,45.0,46.13,43.5,46.0,1866600
1998-04-19,45.75,48.63,45.75,48.25,2211800
1998-04-26,47.38,47.88,44.62,46.5,1948300
1998-05-03,46.69,47.13,45.0,45.0,1261300
1998-05-10,45.0,45.51,41.0,41.19,2258208
1998-05-17,41.5,42.88,41.12,42.13,2618402
1998-05-24,42.75,44.88,41.5,44.63,1345900
1998-05-31,44.75,45.38,40.75,41.0,2281000
1998-06-07,41.13,45.51,41.0,43.0,2068000
1998-06-14,42.63,42.63,39.5,40.97,3310801
1998-06-21,40.75,41.88,39.68,41.13,2509400
1998-06-28,41.25,44.38,41.25,44.13,1615904
1998-07-05,44.5,46.44,42.38,45.88,2356407
1998-07-12,46.25,49.88,45.5,49.0,2758508
1998-07-19,49.25,50.0,44.12,45.75,2805204
1998-07-26,44.88,45.01,41.63,42.26,1618706
1998-08-02,42.38,42.38,36.5,40.69,3651410
1998-08-09,41.13,42.63,39.5,40.94,1683000
1998-08-16,40.25,44.51,39.62,43.88,2188703
1998-08-23,44.13,44.76,37.62,39.0,1735102
1998-08-30,38.63,39.51,32.0,33.44,2153403
1998-09-06,33.75,35.63,33.5,34.81,2318700
1998-09-13,35.31,37.82,35.25,36.81,953800
1998-09-20,36.38,37.63,31.62,32.13,2426503
1998-09-27,32.0,32.13,24.5,25.5,5219212
1998-10-04,25.38,27.38,23.25,25.5,2831903
