datetime,open,high,low,close,volume
2007-04-22,67.47,67.77,67.39,67.74,2168471
2007-04-29,67.83,68.72,66.98,67.97,17751515
2007-05-06,68.15,69.08,67.99,68.39,15712405
2007-05-13,68.38,69.85,67.96,69.15,19076084
2007-05-20,68.91,69.5,68.0,68.58,16994681
2007-05-27,68.82,70.68,68.3,70.55,11379825
2007-06-03,70.33,71.17,68.85,70.23,17916442
2007-06-10,69.85,72.3,69.51,72.0,19925020
2007-06-17,72.49,72.64,71.06,71.63,19543767
2007-06-24,71.32,71.88,70.13,70.92,18168911
2007-07-01,71.47,72.88,71.4,72.63,10633133
2007-07-08,72.32,75.21,71.69,75.01,20891805
2007-07-15,75.86,77.82,74.85,75.98,37472361
2007-07-22,76.57,76.84,73.1,73.3,30127862
2007-07-29,72.92,75.41,72.45,73.85,26508335
2007-08-05,76.58,76.71,71.07,73.16,25633802
2007-08-12,73.08,74.39,69.0,73.83,26605540
2007-08-19,73.7,75.02,72.58,74.37,20196875
2007-08-26,74.06,75.5,71.9,74.55,15102638
2007-09-02,74.75,75.11,73.11,73.83,13499700
2007-09-09,74.29,76.37,73.11,76.1,17163741
2007-09-16,75.7,79.95,75.46,79.38,20300300
2007-09-23,79.44,80.98,78.52,80.48,17908200
2007-09-30,80.48,82.5,79.39,80.88,17616173
2007-10-07,80.84,81.5,78.64,80.37,15660142
2007-10-14,81.17,81.17,75.57,75.95,34522181
2007-10-21,75.49,76.95,74.94,75.46,25173485
2007-10-28,75.67,76.71,74.5,75.69,19231000
2007-11-04,75.0,76.75,73.45,73.45,23207896
2007-11-11,73.23,75.83,73.23,74.26,20145256
2007-11-18,73.85,75.0,72.68,73.46,15608623
2007-11-25,73.44,76.56,72.6,74.82,19728260
2007-12-02,74.02,78.4,74.02,78.0,19333845
2007-12-09,78.13,79.3,75.5,76.62,19051038
2007-12-16,76.48,78.0,74.63,77.92,20559215
2007-12-23,77.78,78.85,76.53,76.8,8726959
2007-12-30,76.77,77.14,74.85,74.93,15106697
2008-01-06,75.33,75.7,70.03,71.77,34137662
2008-01-13,72.11,72.5,67.66,68.13,31515706
2008-01-20,65.5,74.22,65.2,72.67,36932771
2008-01-27,72.57,74.45,71.65,74.13,27231031
2008-02-03,74.12,74.31,70.83,71.33,24184414
2008-02-10,71.47,73.7,70.42,71.43,21461690
2008-02-17,72.49,72.65,70.69,72.35,15085065
2008-02-24,72.42,73.75,70.36,70.52,22123892
2008-03-02,69.94,70.28,67.36,67.56,31287882
2008-03-09,67.6,69.15,66.14,67.68,26832298
2008-03-16,66.29,70.49,66.29,69.02,25280090
2008-03-23,69.42,70.7,68.34,68.53,20870277
2008-03-30,68.66,72.4,68.16,71.65,23252824
2008-04-06,72.1,72.57,69.35,69.64,22429842
2008-04-13,69.37,73.23,69.37,72.38,27746286
2008-04-20,71.98,73.13,70.92,72.71,19016753
2008-04-27,72.53,75.4,72.33,75.04,21626707
2008-05-04,74.69,75.0,72.39,73.07,15158280
2008-05-11,73.4,75.86,73.13,73.97,20857025
