datetime,open,high,low,close,volume
1997-12-28,80.75,80.75,79.75,80.56,1196509
1998-01-04,80.69,81.13,69.62,69.87,20208724
1998-01-11,68.13,78.19,68.0,77.88,15260928
1998-01-18,79.38,81.44,69.37,70.38,20020086
1998-01-25,72.0,78.19,69.38,73.63,15779119
1998-02-01,75.19,78.88,72.5,76.75,16671205
1998-02-08,77.13,77.5,73.56,76.32,12678570
1998-02-15,76.69,76.69,73.12,74.5,13614946
1998-02-22,74.38,77.0,70.37,75.38,16739851
1998-03-01,75.63,80.51,72.44,73.69,16395469
1998-03-08,73.75,73.76,69.68,71.38,26360640
1998-03-15,71.38,73.88,65.87,73.56,31824104
1998-03-22,79.5,80.13,77.0,78.0,18562282
1998-03-29,78.13,78.76,75.06,75.76,11042975
1998-04-05,75.75,76.19,73.31,74.44,6922839
1998-04-12,74.31,79.19,72.62,77.62,10802136
1998-04-19,78.0,81.5,76.62,77.87,12291120
1998-04-26,77.0,86.44,75.5,85.56,13524274
1998-05-03,85.13,85.5,81.18,82.32,10490296
1998-05-10,83.25,84.25,81.25,81.63,8240931
1998-05-17,81.31,81.5,78.25,79.31,8465823
1998-05-24,79.5,79.75,74.81,78.06,8528260
1998-05-31,77.5,79.19,74.18,79.19,9702429
1998-06-07,79.13,79.13,69.81,72.76,13858269
1998-06-14,71.25,74.0,66.03,66.19,24935439
1998-06-21,66.25,69.75,66.0,66.81,20559843
1998-06-28,66.88,69.06,66.37,68.13,10731152
1998-07-05,68.69,69.13,66.31,67.31,13713501
1998-07-12,67.5,69.94,65.13,67.25,15536986
1998-07-19,67.25,67.5,59.88,60.69,18718821
1998-07-26,60.31,62.76,60.12,60.69,13838293
1998-08-02,60.63,61.13,54.37,58.44,19284295
1998-08-09,57.63,58.25,52.31,52.63,16558676
1998-08-16,52.5,56.69,51.0,54.88,17440164
1998-08-23,55.06,55.63,47.43,48.75,18257081
1998-08-30,49.13,50.12,43.43,49.88,28406378
1998-09-06,51.75,52.12,47.68,51.63,21757965
1998-09-13,52.88,53.63,48.87,49.88,20199647
1998-09-20,48.25,53.25,48.06,50.81,16489363
1998-09-27,51.0,52.63,47.37,48.56,14811770
1998-10-04,48.94,49.44,42.5,44.0,13401147
1998-10-11,44.56,52.19,43.63,52.0,17687476
1998-10-18,51.75,54.01,50.62,51.12,18192244
1998-10-25,51.5,54.76,50.38,52.56,15338148
1998-11-01,54.38,57.82,53.81,56.88,18917900
1998-11-08,56.94,58.25,51.12,51.81,14180300
1998-11-15,51.19,52.12,48.75,51.56,14972400
1998-11-22,51.38,51.38,47.87,48.0,12803100
1998-11-29,47.31,47.44,40.06,41.31,41915300
1998-12-06,41.69,44.63,41.69,43.75,28568400
1998-12-13,43.88,47.87,43.57,44.69,21381300
1998-12-20,44.31,48.01,43.56,48.0,13407000
1998-12-27,47.75,47.81,45.13,46.94,12199000
1999-01-03,46.63,53.94,46.62,52.13,20037100
1999-01-10,52.25,53.56,47.87,49.44,16137900
1999-01-17,49.06,51.51,47.5,51.44,14510600
1999-01-24,51.5,51.5,45.44,47.63,13321600
1999-01-31,47.5,52.94,47.18,52.94,17841000
1999-02-07,52.31,52.82,50.25,50.5,8847200
1999-02-14,50.31,50.76,48.19,49.19,7660000
1999-02-21,49.13,49.88,47.63,48.5,14293300
1999-02-28,48.56,57.19,48.0,54.94,19106600
1999-03-07,55.94,59.26,54.5,56.38,29311800
1999-03-14,55.56,60.63,54.5,57.25,19598400
1999-03-21,57.75,60.0,55.31,59.44,12774300
1999-03-28,60.5,62.31,58.07,58.31,13001200
1999-04-04,58.5,59.38,55.56,58.25,12123300
1999-04-11,59.0,64.01,56.5,63.94,18374700
1999-04-18,64.5,65.88,60.0,61.19,16390000
1999-04-25,60.31,65.51,59.06,63.75,16258100
1999-05-02,63.0,65.87,61.19,62.56,13329500
1999-05-09,62.63,64.44,60.12,61.94,10425500
1999-05-16,61.25,62.0,58.25,61.0,13189700
1999-05-23,61.94,62.26,57.25,60.25,10011300
1999-05-30,59.5,62.19,58.62,61.0,11477300
1999-06-06,60.81,63.19,59.25,61.31,11812500
1999-06-13,61.81,64.94,60.25,64.44,11878600
1999-06-20,64.31,64.31,58.94,59.19,12362600
1999-06-27,59.0,63.88,58.81,62.06,13409400
1999-07-04,62.94,64.88,59.5,64.37,16392900
1999-07-11,64.38,65.25,62.75,63.63,13520800
1999-07-18,63.63,63.63,60.31,60.82,10025600
1999-07-25,60.81,62.32,58.87,60.81,13102200
1999-08-01,59.88,63.94,59.13,63.31,10180100
1999-08-08,63.19,68.5,63.18,65.32,14962800
1999-08-15,65.19,68.88,63.82,67.37,9597400
1999-08-22,67.44,68.69,63.88,65.44,11298500
1999-08-29,65.5,67.5,64.0,64.81,9637200
1999-09-05,64.88,70.69,64.87,70.0,11401000
1999-09-12,69.5,69.69,64.68,65.88,11590400
1999-09-19,65.94,66.38,57.69,59.44,16484900
1999-09-26,60.0,63.31,58.13,62.81,13847400
1999-10-03,62.81,62.81,53.69,55.06,19261100
1999-10-10,56.25,58.38,53.63,54.31,13493400
1999-10-17,55.13,60.76,54.44,60.37,9757800
1999-10-24,60.75,61.44,57.44,60.56,10131400
1999-10-31,61.25,62.56,56.75,57.44,12168600
1999-11-07,58.19,64.5,57.75,64.5,10988600
1999-11-14,64.81,68.94,64.12,66.0,15276600
1999-11-21,67.88,68.69,61.75,62.44,9019100
1999-11-28,61.5,62.51,59.31,60.0,13972000
1999-12-05,60.06,60.69,55.25,56.25,16086900
1999-12-12,57.06,58.69,52.69,55.63,18809900
1999-12-19,55.06,59.75,55.06,59.13,9571500
1999-12-26,58.75,59.75,53.0,56.13,7029900
2000-01-02,55.63,60.06,53.5,58.75,17178300
2000-01-09,58.75,62.38,57.87,61.5,11652800
2000-01-16,62.0,67.63,61.75,66.06,15219200
2000-01-23,66.25,66.94,59.75,60.06,15950600
2000-01-30,60.38,65.13,58.75,59.56,12472800
2000-02-06,59.13,61.69,56.94,58.44,12607600
2000-02-13,58.44,67.75,57.5,66.5,20897600
2000-02-20,65.88,69.26,63.75,67.0,13900100
2000-02-27,66.63,84.38,66.56,78.75,31615600
2000-03-05,77.75,84.38,74.31,77.31,20273900
2000-03-12,76.0,80.44,72.19,74.32,16172900
2000-03-19,74.38,80.81,69.44,78.18,17145400
2000-03-26,77.25,83.88,75.69,77.75,16100800
2000-04-02,78.0,82.76,72.5,73.56,18419800
2000-04-09,72.13,74.94,69.18,70.12,14065500
2000-04-16,70.19,74.63,66.81,73.5,10181400
2000-04-23,74.5,79.88,73.25,76.63,13770800
2000-04-30,76.31,77.94,73.88,77.62,15726500
2000-05-07,77.38,80.94,75.0,80.5,10382600
2000-05-14,80.0,84.25,78.82,79.13,15342200
2000-05-21,78.19,78.51,69.25,71.06,15737200
2000-05-28,71.56,74.82,69.5,69.88,13786600
2000-06-04,72.5,73.38,69.06,71.56,13698700
2000-06-11,72.5,76.32,72.19,75.81,12463300
2000-06-18,75.19,79.5,71.37,74.56,13622000
2000-06-25,74.56,75.56,72.18,74.38,9433100
2000-07-02,74.38,74.5,69.87,71.37,8617200
2000-07-09,71.0,76.01,68.75,74.75,14047300
2000-07-16,74.0,77.19,72.31,73.25,9710400
2000-07-23,73.19,74.13,70.07,73.75,10845300
2000-07-30,73.88,78.69,72.68,77.69,11287200
2000-08-06,77.0,82.25,76.81,79.56,11870000
2000-08-13,80.0,86.76,79.75,85.25,15425100
2000-08-20,85.56,88.5,83.44,85.81,12110200
2000-08-27,85.5,88.88,83.69,86.25,8015300
2000-09-03,85.63,87.69,80.5,82.5,10092600
2000-09-10,83.94,85.94,82.07,84.69,14152700
2000-09-17,84.75,85.26,77.81,79.19,16371800
2000-09-24,78.69,83.63,76.19,82.31,16670100
2000-10-01,83.13,86.26,79.75,80.5,11139000
2000-10-08,81.44,86.37,81.06,81.38,11766100
2000-10-15,81.44,84.44,79.57,84.0,10397100
2000-10-22,83.94,83.94,72.56,75.25,15534600
2000-10-29,75.06,80.75,73.0,78.88,14038200
2000-11-05,79.44,80.87,76.13,77.25,11824400
2000-11-12,78.13,80.31,73.75,76.32,13246900
2000-11-19,77.0,77.44,71.13,73.44,8438100
2000-11-26,73.0,73.32,61.13,66.63,27298100
2000-12-03,66.81,70.38,66.62,69.44,21114200
2000-12-10,69.88,74.44,69.69,71.94,14649900
2000-12-17,72.94,80.94,72.88,76.5,19757600
2000-12-24,76.81,82.44,76.81,80.25,8939600
2000-12-31,80.19,82.81,75.0,76.75,17958800
2001-01-07,77.44,81.26,76.37,81.06,16188400
2001-01-14,81.06,81.75,71.63,73.63,16721800
2001-01-21,74.0,78.94,72.94,77.13,16411000
2001-01-28,76.5,77.45,74.64,76.9,11272400
2001-02-04,77.0,79.91,76.95,78.19,15414400
2001-02-11,74.5,75.1,63.5,64.5,60156400
2001-02-18,64.95,65.7,59.72,60.01,22040500
2001-02-25,61.9,66.0,61.53,65.48,22721800
2001-03-04,65.48,69.6,65.05,68.72,16051700
2001-03-11,68.72,69.35,61.0,61.43,18260600
2001-03-18,61.85,66.3,59.8,62.86,18157300
2001-03-25,63.4,64.75,57.3,57.54,19332400
2001-04-01,57.75,58.96,52.84,58.0,28909400
2001-04-08,59.9,61.9,59.0,61.2,17966400
2001-04-15,61.21,63.99,58.8,60.78,19795600
2001-04-22,61.77,67.5,60.7,66.1,15969100
2001-04-29,66.2,67.4,60.75,63.02,14485400
2001-05-06,63.87,64.0,60.9,61.94,11234900
2001-05-13,62.65,69.25,62.29,68.48,15358300
2001-05-20,68.7,69.05,63.32,64.0,13373400
2001-05-27,64.7,65.13,61.21,62.8,10163200
2001-06-03,63.3,65.86,60.12,60.39,15334000
2001-06-10,60.96,62.46,56.0,57.3,19641900
2001-06-17,57.05,57.8,52.6,54.0,17425100
2001-06-24,54.45,54.69,51.15,52.7,21182800
2001-07-01,53.3,54.65,51.45,53.27,13152300
2001-07-08,53.35,53.37,48.7,50.44,22419900
2001-07-15,50.45,53.32,46.9,53.05,25820800
2001-07-22,53.65,56.9,53.01,56.02,19590000
2001-07-29,56.1,56.8,51.97,52.03,15789700
2001-08-05,52.35,52.71,48.25,49.5,15186300
2001-08-12,50.02,53.5,49.3,52.13,15375900
2001-08-19,52.13,54.15,50.46,51.05,11548000
2001-08-26,51.3,51.75,48.55,49.04,11800200
2001-09-02,49.15,51.05,49.14,50.68,9628100
2001-09-09,50.45,50.8,50.11,50.47,2239500
2001-09-16,50.65,51.5,42.18,46.96,24581300
2001-09-23,46.85,46.86,40.84,45.57,24598700
2001-09-30,45.2,46.49,42.05,45.26,18545500
2001-10-07,45.31,48.3,43.9,47.25,13821800
2001-10-14,46.5,48.85,44.72,47.15,13809700
2001-10-21,47.53,53.23,46.05,53.1,18881500
2001-10-28,53.17,54.15,46.5,47.54,18384700
2001-11-04,48.0,49.85,44.6,49.55,17937600
2001-11-11,47.8,50.24,42.1,45.04,27096100
2001-11-18,44.2,48.35,43.7,47.48,16101200
2001-11-25,46.81,48.58,45.65,48.01,16212500
2001-12-02,47.68,53.7,47.27,52.77,24800300
2001-12-09,52.07,52.75,49.8,52.16,13512100
2001-12-16,51.7,53.99,50.95,52.31,16329300
2001-12-23,52.8,56.73,52.51,54.95,9416300
2001-12-30,55.08,55.39,52.75,54.26,12038700
2002-01-06,53.81,55.09,51.05,51.2,13675900
2002-01-13,50.75,52.14,49.15,49.7,12734600
2002-01-20,49.65,55.0,49.25,54.59,11777400
2002-01-27,54.3,56.62,52.0,55.25,16031200
2002-02-03,55.21,55.28,52.57,53.93,12314400
2002-02-10,53.7,56.6,53.35,55.91,14857400
2002-02-17,54.8,57.9,53.88,57.37,12602400
2002-02-24,58.0,59.87,56.9,58.85,18712400
2002-03-03,59.4,62.43,57.51,58.13,19476000
2002-03-10,58.84,61.58,57.55,60.16,16174900
2002-03-17,59.6,61.18,56.9,56.91,14760100
2002-03-24,57.0,59.24,56.09,58.82,10525300
2002-03-31,59.8,59.89,54.1,54.39,16666400
2002-04-07,55.85,55.99,51.87,52.75,15615800
2002-04-14,53.95,56.73,53.6,55.3,15789000
2002-04-21,55.02,57.05,53.3,56.81,14532100
2002-04-28,56.15,58.5,54.2,56.92,14069100
2002-05-05,56.05,56.78,53.3,55.52,12371500
2002-05-12,55.3,56.7,54.11,54.99,14006600
2002-05-19,54.8,55.2,51.31,51.77,15950500
2002-05-26,52.1,52.66,51.35,51.65,9793600
2002-06-02,51.85,51.85,47.51,49.34,17491500
2002-06-09,48.8,49.94,46.64,48.66,14071700
2002-06-16,49.4,50.25,48.16,49.09,14292700
2002-06-23,48.71,50.5,46.3,46.64,11998600
2002-06-30,45.3,47.4,43.9,46.72,9199100
2002-07-07,46.5,46.55,42.17,43.23,14161900
2002-07-14,42.51,44.09,39.83,41.36,18216600
2002-07-21,41.31,42.15,36.43,40.48,19484200
2002-07-28,40.75,43.99,37.47,37.99,18408200
2002-08-04,37.79,41.18,35.86,40.94,14845900
2002-08-11,39.95,44.0,39.2,42.99,14534100
2002-08-18,42.75,44.8,40.12,43.53,18591400
2002-08-25,43.75,45.88,42.24,43.14,11412400
2002-09-01,42.04,42.45,39.32,42.2,10459700
2002-09-08,42.24,44.45,41.34,42.55,9019700
2002-09-15,42.62,43.37,38.81,39.24,14194700
2002-09-22,39.5,41.47,37.23,39.7,16031800
2002-09-29,39.05,40.95,36.64,37.14,16465200
2002-10-06,37.18,37.86,33.4,36.67,16195800
2002-10-13,36.68,41.0,36.14,40.64,19241500
2002-10-20,40.0,43.45,39.13,39.64,20879400
2002-10-27,39.8,42.35,38.01,42.01,15643400
2002-11-03,41.97,43.7,40.42,42.15,16663000
2002-11-10,41.75,42.37,38.88,41.86,12645800
2002-11-17,42.02,44.44,41.0,43.47,14697400
2002-11-24,43.42,44.5,41.9,44.25,6998500
2002-12-01,44.75,46.85,44.33,46.18,14175200
2002-12-08,46.53,46.7,43.85,44.16,14464100
2002-12-15,44.28,45.31,42.83,43.8,11674600
2002-12-22,44.0,44.03,41.72,41.88,4929400
2002-12-29,42.17,43.33,41.26,42.77,6978200
2003-01-05,42.46,42.65,40.5,41.76,13237600
2003-01-12,41.62,42.0,40.51,40.71,14040900
2003-01-19,40.72,40.72,35.62,37.3,21447500
2003-01-26,37.35,38.58,35.72,37.7,16380900
2003-02-02,37.71,39.2,37.0,37.53,12143500
2003-02-09,37.85,39.5,37.59,38.81,12947200
2003-02-16,38.74,42.18,38.6,41.94,12634400
2003-02-23,41.95,42.98,40.39,41.61,21470100
2003-03-02,41.46,41.85,39.55,40.17,14783800
2003-03-09,40.65,40.7,36.86,37.69,15747100
2003-03-16,37.71,40.48,37.63,38.95,18691500
2003-03-23,38.92,39.61,37.6,38.99,13193300
2003-03-30,38.88,38.99,37.47,37.72,13277700
2003-04-06,37.72,38.92,37.32,38.15,13725400
2003-04-13,36.08,39.12,36.08,38.89,9000700
2003-04-20,38.89,42.0,38.7,41.5,16281300
2003-04-27,41.4,43.52,40.89,43.34,12420200
2003-05-04,43.29,45.46,43.21,44.98,14316500
2003-05-11,44.85,47.51,44.67,47.31,13641600
2003-05-18,47.15,48.0,45.9,47.12,12685300
2003-05-25,46.55,49.0,46.55,48.67,10846900
2003-06-01,48.43,48.75,46.2,47.37,20523000
2003-06-08,47.2,50.15,46.94,48.21,15100300
2003-06-15,48.19,49.1,46.87,47.3,13612700
2003-06-22,47.27,48.7,46.23,47.64,14515100
2003-06-29,48.0,48.61,46.52,48.04,8542600
2003-07-06,48.0,48.45,46.18,47.24,14501500
2003-07-13,47.4,47.66,44.51,47.41,13298700
2003-07-20,48.0,48.25,44.79,45.7,18494400
2003-07-27,45.73,46.42,44.5,45.52,14803100
2003-08-03,45.52,46.79,44.5,46.54,14414400
2003-08-10,46.53,47.75,46.12,47.31,12034300
2003-08-17,47.5,49.76,47.11,48.43,11591600
2003-08-24,48.44,49.51,47.11,49.5,12474900
2003-08-31,49.51,49.51,47.6,48.42,12009900
2003-09-07,48.55,49.79,47.75,48.33,11232700
2003-09-14,48.34,51.09,47.76,50.94,14338500
2003-09-21,51.5,52.1,48.3,48.75,19019600
2003-09-28,48.71,50.66,48.09,50.13,11966500
2003-10-05,50.1,51.15,49.54,50.79,10360800
2003-10-12,50.8,51.01,48.99,49.49,11429000
2003-10-19,49.55,51.56,46.89,47.11,23544100
2003-10-26,47.12,47.8,45.48,46.97,16755300
2003-11-02,46.97,47.12,45.33,46.62,11121682
2003-11-09,46.6,48.21,46.0,47.56,10521300
2003-11-16,47.6,47.6,46.0,46.26,9841600
2003-11-23,46.26,47.3,45.95,46.92,6936200
2003-11-30,46.97,49.43,46.65,49.31,14413900
2003-12-07,49.0,51.09,48.91,51.04,13837300
2003-12-14,50.95,53.95,49.95,53.12,20920000
2003-12-21,53.25,55.48,53.16,55.28,9197600
2003-12-28,55.4,56.24,54.36,54.61,8305900
2004-01-04,54.2,55.91,52.78,54.1,21205400
2004-01-11,54.2,54.2,52.53,53.82,13529300
2004-01-18,54.6,60.47,54.5,59.84,21332700
2004-01-25,59.86,62.85,59.21,61.22,29621200
2004-02-01,61.19,62.26,60.44,61.22,18555300
2004-02-08,61.4,64.36,61.37,64.07,16799300
2004-02-15,64.04,64.34,62.75,63.1,12273200
2004-02-22,63.15,65.04,62.83,64.53,13413000
2004-02-29,64.9,66.75,64.73,65.0,10992400
2004-03-07,65.1,65.95,61.8,62.52,10674700
2004-03-14,62.65,65.5,62.12,63.64,13868500
2004-03-21,63.45,63.73,60.57,61.46,19068700
2004-03-28,61.85,64.23,60.94,61.78,19682500
2004-04-04,62.0,62.12,60.11,61.3,13851800
2004-04-11,61.42,64.25,61.29,64.14,10506200
2004-04-18,64.1,64.7,61.36,61.7,16865400
2004-04-25,61.82,63.4,57.05,58.5,17444500
2004-05-02,58.53,60.04,55.95,56.1,19140900
2004-05-09,55.5,57.9,54.75,57.3,19807300
2004-05-16,56.93,57.8,56.55,56.65,17074800
2004-05-23,56.62,59.45,56.13,57.24,17180600
2004-05-30,58.15,58.38,56.02,56.37,12250500
2004-06-06,56.45,58.95,56.16,58.39,13147100
2004-06-13,58.31,62.8,58.13,62.02,20286900
2004-06-20,62.02,63.75,61.06,63.19,13948300
2004-06-27,63.26,63.95,61.85,63.54,12419500
2004-07-04,63.7,64.16,62.04,62.78,11261200
2004-07-11,62.81,65.8,61.55,64.91,13576800
2004-07-18,65.0,66.36,63.02,63.09,17931400
2004-07-25,63.2,65.35,61.75,64.27,17142600
2004-08-01,64.22,65.22,60.67,61.52,16791000
2004-08-08,61.55,62.8,59.72,60.0,18411500
2004-08-15,60.15,61.74,58.64,61.17,21549400
2004-08-22,61.1,62.48,59.45,62.29,13956600
2004-08-29,62.09,64.64,60.91,64.47,14375500
2004-09-05,64.25,65.18,63.25,64.37,9245500
2004-09-12,64.5,65.99,63.16,65.97,13245700
2004-09-19,66.0,67.24,64.76,66.71,20388100
2004-09-26,66.95,68.65,66.05,68.25,20314000
2004-10-03,68.25,69.89,67.65,69.2,15204400
2004-10-10,69.2,69.26,64.81,66.69,19267800
2004-10-17,66.75,67.92,64.72,65.79,20696500
2004-10-24,65.26,65.89,61.81,62.91,27375800
2004-10-31,63.5,64.5,61.01,63.63,24304100
2004-11-07,63.42,65.75,61.98,65.65,20019800
2004-11-14,65.55,66.26,63.55,66.06,19344300
2004-11-21,66.19,67.8,65.25,67.08,11882900
2004-11-28,67.2,67.24,61.2,63.44,23818300
2004-12-05,63.8,64.55,61.48,63.0,21058600
2004-12-12,63.1,66.41,63.08,65.62,16354900
2004-12-19,65.39,67.18,65.39,67.05,12327900
2004-12-26,66.97,67.4,65.8,66.96,12914400
2005-01-02,66.8,66.8,63.14,63.53,21097100
2005-01-09,63.95,65.02,63.19,64.41,22048900
2005-01-16,65.25,65.96,63.75,64.65,17541300
2005-01-23,65.2,67.85,65.19,67.03,28353000
2005-01-30,66.4,71.48,66.15,70.55,23684600
2005-02-06,70.6,74.16,68.92,73.45,21646900
2005-02-13,73.34,74.43,71.9,73.6,18553100
2005-02-20,73.95,75.88,72.6,75.55,14259400
2005-02-27,75.2,78.32,74.02,77.99,29530200
2005-03-06,77.4,77.42,71.95,72.74,23829700
2005-03-13,72.75,73.9,71.05,71.7,21426300
2005-03-20,71.79,73.35,69.44,70.11,17318000
2005-03-27,70.04,71.7,67.41,71.62,21620900
2005-04-03,72.2,72.97,69.86,69.9,20606700
2005-04-10,69.79,70.8,66.9,67.01,21874600
2005-04-17,66.91,71.62,66.91,70.88,19579900
2005-04-24,71.5,72.0,67.53,68.32,22698700
2005-05-01,68.34,70.42,66.78,69.1,21055500
2005-05-08,69.3,70.48,64.94,65.5,23711900
2005-05-15,65.37,67.64,64.62,65.97,27328200
2005-05-22,66.98,68.92,66.02,68.7,15652100
2005-05-29,68.71,71.65,67.5,71.15,13910200
2005-06-05,71.3,73.7,69.91,73.24,16290700
2005-06-12,73.2,76.69,72.59,76.45,17742200
2005-06-19,76.45,77.98,75.26,76.56,19221100
2005-06-26,77.06,78.45,75.74,76.66,20774800
2005-07-03,76.86,79.5,76.67,77.5,14047000
2005-07-10,77.47,79.47,75.36,75.75,20446400
2005-07-17,75.77,82.39,74.85,82.21,24125800
2005-07-24,82.28,85.74,82.11,83.78,23429900
2005-07-31,84.15,87.23,84.15,85.77,19467900
2005-08-07,86.38,87.8,85.39,86.04,16798300
2005-08-14,86.03,86.21,80.9,82.52,18433600
2005-08-21,82.9,83.7,80.86,82.08,16509800
2005-08-28,83.45,87.68,82.58,83.92,26006600
2005-09-04,84.73,85.63,83.13,85.29,14348600
2005-09-11,84.95,84.96,81.4,83.15,20703100
2005-09-18,84.0,86.12,82.6,83.01,22627500
2005-09-25,82.55,85.49,82.45,84.4,17084700
2005-10-02,84.39,85.3,77.3,79.87,34208800
2005-10-09,80.1,82.85,77.32,82.8,26127700
2005-10-16,83.45,83.87,77.92,80.0,38432700
2005-10-23,80.01,89.88,79.79,89.3,35288700
2005-10-30,89.13,95.82,88.7,92.11,36709700
2005-11-06,92.05,94.94,90.16,92.0,32138500
2005-11-13,92.33,96.03,92.29,95.05,29456600
2005-11-20,95.18,98.56,94.79,97.03,16772600
2005-11-27,96.25,99.57,93.55,99.0,22377700
2005-12-04,99.38,100.87,96.47,99.84,22857900
2005-12-11,100.25,102.98,99.07,99.9,22095400
2005-12-18,99.92,100.57,97.68,100.21,15581700
2005-12-25,99.0,99.27,95.79,97.1,12339900
2006-01-01,98.85,107.49,98.4,107.48,23092100
2006-01-08,107.29,109.28,104.72,107.15,23550400
2006-01-15,109.01,122.47,107.54,121.85,33603100
2006-01-22,122.97,127.83,118.13,127.28,42620700
2006-01-29,127.47,131.75,119.5,122.5,33992700
2006-02-05,124.44,126.2,113.75,119.22,37660600
2006-02-12,119.8,120.35,111.05,114.45,39032800
2006-02-19,115.98,120.08,113.1,118.39,20451200
2006-02-26,117.95,123.25,114.3,122.23,24087400
2006-03-05,121.75,121.76,113.4,116.87,29794900
2006-03-12,117.45,124.8,115.8,123.21,26632800
2006-03-19,123.02,125.35,119.03,122.16,26339000
2006-03-26,122.18,128.34,120.87,126.45,23953500
2006-04-02,128.25,133.89,126.65,128.88,28926300
2006-04-09,65.69,66.0,60.4,62.13,33560200
2006-04-16,62.88,69.4,62.35,68.5,52722100
2006-04-23,68.65,70.65,66.07,69.14,43451100
2006-04-30,69.65,73.46,69.35,71.46,40367500
2006-05-07,70.9,74.75,68.7,68.9,34411200
2006-05-14,67.03,68.69,62.53,64.69,50631000
2006-05-21,63.12,66.24,61.5,65.29,51642300
2006-05-28,66.1,66.54,63.55,66.25,31356000
2006-06-04,66.75,66.75,57.49,59.14,60884900
2006-06-11,59.75,59.75,54.0,58.15,59442700
2006-06-18,58.1,59.78,54.44,58.94,54271400
2006-06-25,59.15,65.59,58.26,65.13,38693700
2006-07-02,64.9,65.99,62.53,62.74,22922000
2006-07-09,63.4,68.12,62.85,68.06,40593600
2006-07-16,67.42,67.44,60.2,61.45,57436100
2006-07-23,61.75,68.4,61.44,65.18,43318900
2006-07-30,65.42,68.55,64.86,65.08,36474600
2006-08-06,65.8,67.05,63.34,63.95,31434100
2006-08-13,63.5,64.96,61.68,64.0,29391400
2006-08-20,64.5,65.84,63.3,64.48,24213700
2006-08-27,64.12,64.13,60.86,61.83,29015500
2006-09-03,61.2,62.77,57.82,57.96,37768700
2006-09-10,57.3,57.37,54.23,56.25,59456100
2006-09-17,57.45,59.4,56.07,57.09,54044600
2006-09-24,57.1,62.13,55.69,62.0,59574200
2006-10-01,61.81,62.26,56.85,59.59,58234700
2006-10-08,60.1,60.7,57.23,58.73,50258100
2006-10-15,59.0,63.31,58.45,60.13,55459800
2006-10-22,60.0,64.68,59.51,62.76,49713600
2006-10-29,62.0,63.82,61.23,63.49,40054000
2006-11-05,63.0,66.24,62.82,63.3,44488700
2006-11-12,63.29,66.12,61.73,63.29,38841800
2006-11-19,62.6,65.91,62.16,65.36,21590600
2006-11-26,65.69,69.3,64.4,68.36,41364500
2006-12-03,68.0,69.0,66.14,66.46,32536400
2006-12-10,66.4,69.06,65.59,67.55,33720900
2006-12-17,66.97,67.28,62.81,62.89,37082800
2006-12-24,63.73,64.23,61.68,63.16,19854000
2006-12-31,63.01,63.02,59.1,59.32,30835200
2007-01-07,60.0,60.2,55.68,57.83,58165000
2007-01-14,57.4,61.11,57.15,61.11,50842600
2007-01-21,61.6,64.37,60.69,62.71,47761400
2007-01-28,62.7,65.6,61.8,65.06,41045800
2007-02-04,65.56,65.79,63.79,64.5,30095300
2007-02-11,63.87,65.33,63.12,63.33,36868220
2007-02-18,62.65,65.75,61.8,64.6,33023100
2007-02-25,64.99,65.7,61.82,62.27,30356581
2007-03-04,61.68,66.0,61.0,65.14,44249600
2007-03-11,64.81,65.73,63.62,64.42,38398746
2007-03-18,65.17,69.71,64.78,69.14,48571709
2007-03-25,69.25,71.17,68.49,69.03,43722080
2007-04-01,69.1,72.37,68.25,71.89,28355413
2007-04-08,72.0,76.26,71.44,76.0,40184355
2007-04-15,76.25,78.25,73.44,75.18,66733341
2007-04-22,75.36,76.82,73.5,75.65,41435322
2007-04-29,76.0,76.1,72.31,74.66,43644294
2007-05-06,74.5,75.2,72.64,74.46,32048655
2007-05-13,74.35,79.65,74.26,79.39,40151035
2007-05-20,79.77,81.83,78.28,79.19,35355494
2007-05-27,78.86,80.29,77.42,78.2,31651850
2007-06-03,77.62,80.44,77.45,78.66,38952638
2007-06-10,78.26,85.35,78.26,84.59,38353092
