datetime,open,high,low,close,volume
2014-07-27,23.04,23.22,22.6,22.99,50234872
2014-08-03,23.1,23.13,22.67,22.81,17479622
2014-08-10,22.9,23.24,22.8,23.0,7332518
2014-08-17,23.06,25.59,23.02,25.35,10043054
2014-08-24,25.37,25.94,24.88,25.78,5044281
2014-08-31,25.7,26.02,25.51,25.76,4766163
2014-09-07,25.82,25.98,24.44,24.47,10713556
2014-09-14,24.35,25.49,23.88,25.38,6491980
2014-09-21,25.28,25.36,24.18,24.76,4804763
2014-09-28,24.57,25.12,23.76,24.83,7336238
2014-10-05,24.86,25.11,24.14,24.19,5142020
2014-10-12,24.26,25.1,24.03,24.76,6616655
2014-10-19,24.75,26.36,24.4,26.11,5945316
2014-10-26,26.08,27.45,26.02,27.02,4084320
2014-11-02,27.08,28.17,26.25,28.15,4012513
2014-11-09,28.23,29.56,28.0,29.05,7114937
2014-11-16,29.05,29.43,28.65,29.18,5892979
2014-11-23,29.27,29.42,28.03,29.01,4837015
2014-11-30,29.0,29.34,28.73,29.22,3939436
2014-12-07,29.29,30.0,28.93,29.0,5645908
2014-12-14,29.15,30.05,28.15,29.98,6455548
2014-12-21,29.61,30.62,29.5,30.51,1511605
2014-12-28,30.45,30.64,29.35,29.46,1585033
2015-01-04,29.38,30.1,28.45,29.7,5233019
2015-01-11,29.76,30.01,27.92,29.02,3350291
2015-01-18,28.99,32.01,28.43,30.97,7037178
2015-01-25,30.8,31.76,30.72,30.85,6386332
2015-02-01,30.84,32.68,30.69,32.16,4665835
2015-02-08,32.12,33.96,32.01,32.78,8718733
2015-02-15,32.8,32.81,31.67,32.56,5070329
2015-02-22,32.56,33.0,31.91,31.96,3034080
2015-03-01,31.67,32.47,31.19,31.2,2477018
2015-03-08,31.34,32.16,31.09,31.82,2814767
2015-03-15,32.0,32.89,31.58,32.28,3205653
2015-03-22,32.19,32.53,29.93,30.04,3704618
2015-03-29,30.16,30.72,29.91,30.6,3275306
2015-04-05,30.5,30.83,29.5,30.59,4811358
2015-04-12,30.51,31.0,30.22,30.52,4095741
2015-04-19,31.1,32.04,30.6,30.82,6813533
2015-04-26,30.83,31.55,30.27,31.53,3971881
2015-05-03,31.55,33.22,31.45,33.19,4295711
2015-05-10,33.17,33.42,31.77,31.82,4553665
2015-05-17,31.82,32.78,31.5,32.49,2621584
2015-05-24,32.46,32.66,31.87,32.29,1682232
2015-05-31,32.36,33.62,31.9,32.81,3471157
2015-06-07,32.79,33.88,32.5,33.11,3196191
2015-06-14,32.92,33.16,32.44,32.85,2597666
2015-06-21,33.03,33.28,32.43,32.7,2391280
2015-06-28,32.42,33.38,32.17,33.11,2126677
2015-07-05,32.91,33.38,31.94,33.05,3494258
2015-07-12,33.33,35.73,32.94,35.08,3941125
2015-07-19,35.3,36.4,34.63,34.69,3403472
2015-07-26,34.62,34.9,33.98,34.36,3702452
2015-08-02,34.43,34.82,33.43,33.98,2989683
2015-08-09,34.12,35.5,34.03,35.16,3395638
2015-08-16,34.86,35.46,33.61,33.72,4649810
2015-08-23,32.22,33.97,30.27,32.65,10307069
2015-08-30,32.76,33.26,31.33,31.57,5570381
2015-09-06,32.01,32.83,30.9,31.3,8814853
2015-09-13,31.25,31.63,30.12,30.53,8259989
2015-09-20,30.56,31.2,30.2,31.05,4150073
