datetime,open,high,low,close,volume
1997-12-28,30.5,30.75,29.5,29.75,57200
1998-01-04,29.5,29.76,27.06,27.06,729900
1998-01-11,27.06,29.5,26.25,28.75,1467000
1998-01-18,28.63,30.13,28.25,28.75,628200
1998-01-25,28.63,30.13,28.63,29.88,614400
1998-02-01,29.75,30.13,28.81,29.13,754700
1998-02-08,29.13,30.5,29.13,30.13,727100
1998-02-15,30.25,31.88,30.25,31.63,719203
1998-02-22,31.75,31.88,30.25,31.0,521600
1998-03-01,31.5,33.63,31.0,33.0,834000
1998-03-08,33.5,35.0,32.38,34.13,947900
1998-03-15,34.63,35.13,33.5,33.63,2050100
1998-03-22,33.88,34.26,31.25,31.44,1362400
1998-03-29,31.63,32.13,31.0,31.38,1184600
1998-04-05,31.38,32.25,31.38,31.63,848100
1998-04-12,31.94,32.0,30.5,30.5,918300
1998-04-19,31.0,32.88,30.5,32.78,831300
1998-04-26,32.5,33.26,32.19,32.88,642700
1998-05-03,32.75,33.25,32.38,32.63,561400
1998-05-10,32.75,32.88,32.37,32.69,595700
1998-05-17,32.38,34.75,32.38,33.94,383800
1998-05-24,33.75,34.25,32.37,33.56,725000
1998-05-31,33.63,34.25,23.25,24.94,6916910
1998-06-07,25.44,26.0,23.37,24.63,7559318
1998-06-14,24.75,25.13,24.13,24.44,2275200
1998-06-21,24.63,25.25,24.25,25.13,1030400
1998-06-28,24.88,25.38,24.38,25.25,676700
1998-07-05,25.25,25.81,24.0,24.06,1697200
1998-07-12,24.5,24.88,23.25,24.0,2041900
1998-07-19,24.13,25.75,23.88,25.75,1328800
1998-07-26,26.0,26.75,25.0,25.63,2650002
1998-08-02,25.63,26.19,25.13,25.81,764300
1998-08-09,25.75,25.88,24.56,25.0,1303200
1998-08-16,24.88,25.5,24.0,24.13,1419000
1998-08-23,24.13,24.13,22.0,22.44,1954300
1998-08-30,22.5,23.31,21.25,23.13,1168400
1998-09-06,23.06,23.5,21.38,21.69,1314900
1998-09-13,22.5,23.63,21.62,22.94,1633900
1998-09-20,22.63,23.25,21.5,22.25,1291500
1998-09-27,22.63,22.63,20.88,21.13,1633200
1998-10-04,21.13,21.76,20.12,20.75,1789700
1998-10-11,21.5,21.75,20.0,20.75,1229000
1998-10-18,21.31,22.88,21.0,22.88,2913900
1998-10-25,22.88,26.13,22.75,25.75,2042300
1998-11-01,25.63,26.25,25.19,25.44,1708100
1998-11-08,25.5,26.5,25.13,26.25,951200
1998-11-15,26.0,27.5,25.88,27.0,1391600
1998-11-22,27.38,28.0,27.0,27.5,331500
1998-11-29,27.25,27.75,25.75,26.0,831300
1998-12-06,25.75,26.51,24.88,24.88,1112700
1998-12-13,25.0,25.5,24.63,25.13,1250700
1998-12-20,25.0,25.5,24.25,25.25,514800
1998-12-27,25.0,26.38,25.0,25.75,590500
1999-01-03,26.0,26.31,24.62,25.88,1208200
1999-01-10,25.5,26.38,23.5,26.0,985500
1999-01-17,26.0,26.63,25.5,25.5,1498300
1999-01-24,25.63,27.13,25.25,27.13,1541300
1999-01-31,27.38,27.51,26.31,27.06,952800
1999-02-07,27.0,27.38,26.5,26.56,1360300
1999-02-14,26.63,27.13,26.0,26.56,1061700
1999-02-21,26.5,26.63,25.06,25.63,865900
1999-02-28,25.25,26.38,25.0,26.19,397400
1999-03-07,26.25,26.26,25.25,25.25,1005700
1999-03-14,25.25,25.38,24.25,24.25,480900
1999-03-21,24.13,24.5,21.44,23.63,2089100
1999-03-28,23.5,23.75,23.0,23.12,1201700
1999-04-04,23.13,23.44,22.0,22.69,981600
1999-04-11,22.06,23.51,21.31,23.06,2211000
1999-04-18,23.13,24.88,23.0,24.75,1696300
1999-04-25,24.75,26.88,24.69,26.19,2147700
1999-05-02,26.5,27.01,26.0,26.69,1000100
1999-05-09,26.75,28.75,26.25,27.19,1240700
1999-05-16,26.75,28.01,26.75,26.88,613100
1999-05-23,26.75,27.25,26.0,26.88,840500
1999-05-30,27.06,28.38,26.75,27.25,1047800
1999-06-06,27.25,27.38,25.81,26.81,1663500
1999-06-13,26.63,27.0,25.0,26.03,1574100
1999-06-20,25.88,27.44,25.75,26.81,1204800
1999-06-27,27.0,29.13,26.69,28.0,1114200
1999-07-04,27.88,28.63,27.25,28.06,1055600
1999-07-11,28.0,28.75,27.37,28.5,2362900
1999-07-18,28.75,29.32,27.63,27.69,1002400
1999-07-25,27.63,28.25,26.53,27.13,1536400
1999-08-01,27.0,27.13,24.81,25.38,1092900
1999-08-08,25.75,26.06,23.06,25.25,675100
1999-08-15,24.69,25.13,23.25,25.0,1622700
1999-08-22,25.0,25.06,23.93,24.44,1135300
1999-08-29,24.31,25.37,24.12,24.81,1186700
1999-09-05,25.0,25.0,24.31,24.63,863800
1999-09-12,24.75,24.75,22.75,23.06,1686300
1999-09-19,23.06,23.06,20.5,21.25,2030300
1999-09-26,21.38,23.0,20.5,21.31,1943100
1999-10-03,21.13,22.5,21.13,21.94,995500
1999-10-10,21.94,22.57,21.38,21.63,2100300
1999-10-17,21.69,22.06,20.94,21.56,1125900
1999-10-24,21.69,23.25,21.06,23.13,1970700
1999-10-31,23.25,23.94,22.63,23.94,1546800
1999-11-07,23.5,24.13,22.62,23.75,749800
1999-11-14,23.56,24.44,23.25,24.19,1465100
1999-11-21,24.5,24.63,22.81,22.94,765200
1999-11-28,22.88,24.31,22.81,23.88,1253200
1999-12-05,23.69,23.69,22.75,23.06,1307900
1999-12-12,23.0,24.76,22.63,23.94,1506200
1999-12-19,23.88,24.07,23.0,24.07,1275600
1999-12-26,23.75,24.13,23.13,23.63,660200
2000-01-02,23.88,24.13,23.13,23.88,1276200
2000-01-09,23.88,25.09,23.75,24.63,1228600
2000-01-16,24.25,24.44,23.37,23.88,1324700
2000-01-23,24.0,25.01,23.87,24.88,1606400
2000-01-30,24.94,26.38,24.38,26.31,2567400
2000-02-06,26.5,26.63,25.0,25.38,1467700
2000-02-13,25.25,26.13,24.56,25.0,1805100
2000-02-20,25.06,25.88,24.75,25.56,1052000
2000-02-27,25.5,26.0,24.25,25.88,1307200
2000-03-05,25.38,25.88,24.75,25.31,2055400
2000-03-12,25.03,27.25,24.0,26.88,1292300
2000-03-19,26.38,28.38,26.38,26.81,952800
2000-03-26,27.06,28.87,26.88,28.81,2069000
2000-04-02,28.09,37.0,27.13,36.75,938892
2000-04-09,27.63,28.94,25.12,27.0,1028400
2000-04-16,27.0,28.76,26.5,28.72,798200
2000-04-23,28.81,30.01,27.75,29.06,940100
2000-04-30,29.13,30.38,28.19,29.88,1189100
2000-05-07,29.94,31.01,29.0,29.88,912200
2000-05-14,29.94,32.63,29.62,31.25,1306000
2000-05-21,31.13,31.63,29.69,31.31,781000
2000-05-28,31.13,31.51,30.5,30.94,1127300
2000-06-04,31.13,31.38,30.25,31.06,786300
2000-06-11,31.06,31.38,29.5,31.03,839000
2000-06-18,30.88,32.31,30.75,31.38,996500
2000-06-25,31.38,32.38,28.75,30.75,2440900
2000-07-02,30.5,32.75,29.5,31.5,575200
2000-07-09,31.5,34.0,31.25,31.91,1794300
2000-07-16,32.0,34.38,31.87,33.0,936400
2000-07-23,33.13,34.19,32.62,34.0,1568600
2000-07-30,34.0,37.25,33.44,36.82,2560600
2000-08-06,37.38,37.38,35.06,35.5,1594300
2000-08-13,35.72,36.5,34.75,36.13,1439300
2000-08-20,35.88,37.12,34.25,34.44,1299600
2000-08-27,34.75,35.63,31.63,35.06,1918700
2000-09-03,35.0,37.0,33.19,35.25,980600
2000-09-10,35.88,36.26,33.87,34.63,618600
2000-09-17,34.78,37.0,33.75,35.75,880900
2000-09-24,36.81,36.88,34.5,34.94,1950100
2000-10-01,34.81,35.88,33.5,33.81,813400
2000-10-08,33.5,34.63,31.37,31.44,813400
2000-10-15,31.0,35.19,30.94,35.06,1537800
2000-10-22,35.0,36.38,33.75,36.19,1102700
2000-10-29,36.13,36.19,33.94,35.12,1078600
2000-11-05,35.13,36.69,33.81,35.12,1126500
2000-11-12,35.0,35.31,33.13,34.19,473400
2000-11-19,34.25,35.76,33.75,35.56,642400
2000-11-26,35.63,38.0,33.82,37.82,2261700
2000-12-03,38.44,38.63,35.25,38.06,1600800
2000-12-10,38.0,38.63,35.5,37.25,871000
2000-12-17,37.38,39.69,35.13,38.25,1473800
2000-12-24,38.63,43.38,37.63,39.13,1553200
2000-12-31,39.38,40.0,33.44,35.01,1094200
2001-01-07,34.69,36.44,32.5,33.81,1887600
2001-01-14,34.25,36.13,33.94,35.5,1026700
2001-01-21,36.13,37.13,34.75,36.47,1215900
2001-01-28,36.25,36.76,34.37,35.59,1145800
2001-02-04,36.5,37.25,34.88,36.56,987600
2001-02-11,36.38,39.0,36.13,38.0,676900
2001-02-18,37.5,38.25,35.75,37.5,668400
2001-02-25,36.75,38.25,36.13,38.13,855800
2001-03-04,38.25,39.26,37.0,37.38,679200
2001-03-11,37.25,38.0,35.94,36.13,956700
2001-03-18,36.19,36.63,33.13,35.13,702500
2001-03-25,34.56,37.13,34.0,36.5,1524200
2001-04-01,35.88,37.88,35.0,36.66,1068900
2001-04-08,36.9,37.64,36.16,36.88,523900
2001-04-15,36.81,37.89,36.51,37.0,641300
2001-04-22,36.95,39.65,36.77,39.25,1037700
2001-04-29,39.1,41.9,39.0,41.71,1200500
2001-05-06,41.71,42.35,40.84,41.0,1013800
2001-05-13,41.07,41.9,40.2,41.72,919700
2001-05-20,41.4,42.95,41.24,42.42,581800
2001-05-27,42.7,44.5,41.44,44.49,1000800
2001-06-03,44.4,46.08,44.4,45.44,1034000
2001-06-10,45.52,46.61,44.5,46.07,926700
2001-06-17,46.03,46.32,43.85,45.28,1385900
2001-06-24,45.22,45.48,43.7,44.45,1329600
2001-07-01,43.99,46.0,43.65,44.45,500300
2001-07-08,44.99,45.0,42.08,43.71,925700
2001-07-15,43.5,45.0,42.65,44.75,1139700
2001-07-22,44.71,44.99,41.25,43.95,2156600
2001-07-29,44.0,44.9,42.4,43.31,783100
2001-08-05,43.24,43.53,42.36,42.92,1134100
2001-08-12,43.1,45.19,42.94,43.51,1017400
2001-08-19,43.9,45.55,43.32,44.95,625400
2001-08-26,45.36,45.7,44.21,44.66,784400
2001-09-02,44.46,47.05,44.21,47.05,905300
2001-09-09,47.1,47.15,46.4,47.15,465700
2001-09-16,46.25,47.44,39.01,40.08,1599300
2001-09-23,40.25,46.05,39.66,45.95,1441300
2001-09-30,45.01,46.45,43.9,45.28,967000
2001-10-07,45.0,46.25,43.5,44.65,787600
2001-10-14,44.12,46.1,43.5,44.96,843600
2001-10-21,45.0,47.28,44.51,45.7,1056600
2001-10-28,45.95,46.2,43.39,45.51,993200
2001-11-04,45.3,46.35,42.93,44.32,934900
2001-11-11,45.14,45.3,43.19,43.21,642500
2001-11-18,43.13,45.38,43.08,44.98,656400
2001-11-25,44.79,46.56,44.58,46.55,1040100
2001-12-02,46.57,48.8,46.2,47.64,888200
2001-12-09,47.3,47.8,46.34,46.99,674100
2001-12-16,46.91,51.14,46.91,49.89,1405700
2001-12-23,49.97,50.8,48.39,50.75,1154600
2001-12-30,51.0,52.03,49.28,50.0,1310500
2002-01-06,50.01,51.54,49.67,50.69,1481900
2002-01-13,50.87,51.83,50.31,51.25,1184400
2002-01-20,51.7,51.7,49.78,50.67,1201700
2002-01-27,51.12,51.37,33.0,33.46,1583200
2002-02-03,33.5,33.7,31.6,33.05,1639500
2002-02-10,33.16,34.02,32.39,33.22,1348900
2002-02-17,33.38,34.19,32.46,34.02,870000
2002-02-24,33.96,34.36,32.96,33.28,1150100
2002-03-03,33.6,34.29,33.32,33.65,1498900
2002-03-10,33.56,34.54,32.75,34.05,1717700
2002-03-17,34.1,35.9,33.94,35.62,1796000
2002-03-24,36.14,37.93,35.03,37.05,1197500
2002-03-31,37.08,37.3,35.55,36.69,1171800
2002-04-07,36.69,40.24,36.55,39.73,1447200
2002-04-14,39.84,40.95,37.42,39.0,1303300
2002-04-21,39.03,39.31,37.78,38.55,1589600
2002-04-28,38.59,40.19,38.55,39.81,1439500
2002-05-05,39.66,39.94,37.3,37.8,1265300
2002-05-12,37.51,39.9,37.4,39.04,1365500
2002-05-19,39.05,40.05,38.26,39.93,1163700
2002-05-26,40.08,40.7,38.72,39.94,1770600
2002-06-02,39.98,40.38,36.2,38.3,1605500
2002-06-09,38.3,38.8,35.6,37.98,1551700
2002-06-16,38.03,39.6,37.5,38.25,2829000
2002-06-23,38.21,38.57,35.25,36.91,1931800
2002-06-30,36.85,36.85,34.49,36.18,1089300
2002-07-07,35.96,36.23,32.5,34.13,1917900
2002-07-14,34.02,35.4,31.5,31.81,2414200
2002-07-21,31.86,37.1,31.25,36.75,4117535
2002-07-28,36.83,40.0,36.78,38.72,3252980
2002-08-04,39.0,41.11,38.0,40.4,3381752
2002-08-11,40.25,42.46,39.76,41.59,3370067
2002-08-18,41.26,43.5,40.4,40.4,3583899
2002-08-25,40.4,41.0,39.04,39.66,2095292
2002-09-01,39.6,40.21,38.34,39.59,2272585
2002-09-08,39.89,41.48,39.6,40.06,2695359
2002-09-15,40.1,41.09,38.99,39.38,2034144
2002-09-22,39.06,40.51,38.08,40.24,2413042
2002-09-29,40.14,42.18,39.15,41.51,3403032
2002-10-06,41.15,42.16,40.59,40.99,3651402
2002-10-13,41.0,43.0,39.65,42.39,3953106
2002-10-20,42.51,43.1,37.95,38.93,4208729
2002-10-27,38.75,38.95,36.4,38.05,2642852
2002-11-03,38.0,38.74,35.85,36.21,1899896
2002-11-10,36.07,36.85,35.31,36.77,1598289
2002-11-17,36.9,37.38,31.89,33.68,5281316
2002-11-24,33.89,34.05,31.92,33.55,2732472
2002-12-01,34.21,35.41,32.49,35.25,3235953
2002-12-08,35.25,37.4,35.06,36.54,3649344
2002-12-15,36.65,38.06,35.5,37.71,5027458
2002-12-22,37.75,38.6,36.91,36.99,1587645
2002-12-29,37.02,37.95,36.08,37.28,2048016
2003-01-05,37.19,37.76,35.72,36.66,2395531
2003-01-12,36.99,37.32,35.7,35.75,1820772
2003-01-19,35.84,36.16,34.0,34.23,2867782
2003-01-26,34.09,34.45,32.47,33.57,2413346
2003-02-02,34.08,34.29,32.45,32.73,1948993
2003-02-09,32.74,33.56,32.1,32.64,1955460
2003-02-16,32.97,35.07,32.86,34.51,1695826
2003-02-23,34.5,35.43,33.8,34.89,1787442
2003-03-02,34.84,36.26,34.19,34.84,2210039
2003-03-09,34.45,34.55,32.9,34.03,2082008
2003-03-16,34.24,36.24,33.9,36.09,2008168
2003-03-23,35.2,36.0,34.2,35.12,1529612
2003-03-30,34.96,35.53,34.36,34.63,1918322
2003-04-06,34.71,36.15,34.71,35.01,1407979
2003-04-13,35.1,35.16,32.35,33.0,2519531
2003-04-20,32.9,37.14,32.7,36.35,3483756
2003-04-27,36.5,37.68,36.2,36.7,2234703
2003-05-04,36.83,36.95,35.6,36.56,1767792
2003-05-11,36.49,36.98,35.46,35.92,2671706
2003-05-18,35.85,37.52,34.69,36.57,2559802
2003-05-25,36.7,37.75,36.06,37.43,1007513
2003-06-01,37.3,39.36,37.3,38.2,2875119
2003-06-08,38.29,40.75,38.16,39.22,1863493
2003-06-15,39.4,41.1,39.16,40.27,1840286
2003-06-22,40.12,41.09,39.6,40.43,1560359
2003-06-29,40.2,41.68,40.19,41.02,1634936
2003-07-06,41.1,43.91,40.91,43.91,2098460
2003-07-13,43.93,45.03,41.57,43.62,2124509
2003-07-20,43.39,44.69,42.69,43.96,1256264
2003-07-27,44.1,44.6,42.14,42.73,1854202
2003-08-03,42.9,43.09,41.36,41.89,1460433
2003-08-10,42.05,43.13,41.63,42.8,1543458
2003-08-17,43.0,44.52,41.81,42.78,2354839
2003-08-24,42.63,44.38,42.15,43.61,813173
2003-08-31,43.99,44.35,43.12,43.21,861435
2003-09-07,43.21,44.46,42.77,44.24,1196257
2003-09-14,44.39,47.05,43.59,46.11,1781113
2003-09-21,45.36,46.63,43.8,44.55,1940908
2003-09-28,44.55,46.91,44.4,46.25,2130438
2003-10-05,46.25,47.39,45.51,47.11,1228641
2003-10-12,47.15,47.4,45.72,45.87,1505921
2003-10-19,45.49,45.6,42.67,43.83,3038461
2003-10-26,43.72,45.07,43.04,44.18,1249967
2003-11-02,44.31,45.37,43.65,43.99,1601911
2003-11-09,43.79,45.23,43.49,43.57,1248016
2003-11-16,43.58,44.19,41.85,43.08,2048925
2003-11-23,44.01,45.39,43.28,45.03,1217501
2003-11-30,45.39,46.57,44.53,44.82,1607550
2003-12-07,44.74,45.85,44.05,44.93,1718327
2003-12-14,45.25,45.4,43.45,43.75,1709851
2003-12-21,43.83,45.04,43.02,43.98,935089
2003-12-28,43.75,45.51,43.75,44.46,1119518
2004-01-04,44.46,44.95,43.38,44.0,1983199
2004-01-11,43.87,44.08,42.42,42.94,2859782
2004-01-18,42.75,43.92,42.4,43.3,2162706
2004-01-25,43.0,44.66,41.75,42.0,3239672
2004-02-01,42.0,43.6,41.8,43.38,2626520
2004-02-08,43.06,44.46,42.78,43.68,1989780
2004-02-15,43.77,44.58,41.94,42.87,1952436
2004-02-22,42.97,44.3,41.93,43.95,2466097
2004-02-29,44.05,45.21,43.49,45.0,1683673
2004-03-07,44.99,45.0,43.26,44.38,1501548
2004-03-14,44.08,44.5,43.01,43.08,1320297
2004-03-21,43.15,43.95,42.78,43.62,2055076
2004-03-28,43.59,46.72,43.52,46.29,2281013
2004-04-04,46.35,47.0,45.6,46.42,1422866
2004-04-11,46.31,47.09,45.8,46.78,1384863
2004-04-18,46.8,49.05,45.77,48.93,2212942
2004-04-25,48.69,49.79,47.88,48.43,3014954
2004-05-02,48.8,49.39,48.07,48.95,2219760
2004-05-09,48.84,50.93,48.36,50.07,3199174
2004-05-16,49.97,50.1,48.0,48.38,2053096
2004-05-23,48.71,49.65,47.68,49.28,1256393
2004-05-30,49.25,51.0,49.11,50.21,1269177
2004-06-06,50.4,50.92,49.81,50.47,1112212
2004-06-13,50.62,51.06,49.18,50.59,1372336
2004-06-20,50.64,50.64,49.31,49.8,1150239
2004-06-27,49.55,52.84,49.46,51.92,1679946
2004-07-04,52.09,52.64,51.38,51.67,1125062
2004-07-11,51.62,52.32,50.42,50.43,1293076
2004-07-18,50.42,51.0,48.03,48.22,1345302
2004-07-25,48.19,50.17,46.3,48.63,2233211
2004-08-01,48.33,50.5,48.0,48.0,2238674
2004-08-08,47.9,48.52,47.31,47.52,1587640
2004-08-15,47.42,49.3,47.22,49.09,1324589
2004-08-22,49.34,50.15,48.7,50.07,1063757
2004-08-29,50.95,52.25,49.7,51.45,1706969
2004-09-05,51.41,52.25,51.0,51.92,1126219
2004-09-12,51.95,52.91,51.06,51.47,1737040
2004-09-19,51.29,51.72,50.5,51.1,1185646
2004-09-26,50.95,53.39,50.23,53.28,1495249
2004-10-03,52.5,55.59,52.31,52.61,1817955
2004-10-10,52.46,52.99,51.63,52.11,1860321
2004-10-17,52.12,54.09,52.0,52.35,1793615
2004-10-24,52.82,53.35,50.02,51.98,3250189
2004-10-31,52.0,53.31,51.27,53.11,1908382
2004-11-07,53.36,54.77,53.03,54.24,1281071
2004-11-14,54.0,54.28,51.16,51.35,2067408
2004-11-21,51.25,52.4,50.95,52.12,1981424
2004-11-28,52.5,54.4,51.79,53.85,1458626
2004-12-05,53.75,54.91,52.55,54.85,1545295
2004-12-12,54.72,55.98,54.1,55.83,2031081
2004-12-19,56.18,56.84,55.08,55.44,1600813
2004-12-26,55.77,56.84,54.62,56.22,1172319
2005-01-02,56.46,56.81,54.25,54.42,1400099
2005-01-09,54.87,56.08,54.26,55.35,1540661
2005-01-16,55.5,56.29,54.76,55.3,1340857
2005-01-23,55.25,58.3,54.81,56.96,3342459
2005-01-30,57.02,57.79,55.52,57.69,2540870
2005-02-06,57.8,58.08,56.01,57.01,1769238
2005-02-13,57.15,58.4,56.02,56.62,2012698
