datetime,open,high,low,close,volume
2013-02-01,31.51,31.74,30.47,31.04,52106364
2013-02-04,31.09,31.99,30.76,31.1,7467298
2013-02-05,31.25,31.98,30.85,31.04,4828579
2013-02-06,30.98,31.43,30.75,31.04,2106775
2013-02-07,31.0,32.73,31.0,32.11,3785749
2013-02-08,32.31,33.48,32.3,33.06,2568865
2013-02-11,33.06,33.5,32.88,33.29,1464768
2013-02-12,33.4,34.0,33.15,33.74,1576318
2013-02-13,33.8,33.8,33.0,33.56,1244460
2013-02-14,33.39,33.45,32.77,33.28,2935917
2013-02-15,33.31,34.09,33.0,33.81,2393493
2013-02-19,34.02,34.07,33.57,33.84,1031844
2013-02-20,33.84,33.88,32.6,32.72,1837370
2013-02-21,32.5,32.8,31.86,32.56,3214863
2013-02-22,32.78,32.93,32.5,32.59,901627
2013-02-25,32.68,32.69,32.0,32.07,813558
2013-02-26,32.05,32.4,31.99,32.04,1043506
2013-02-27,32.0,33.06,32.0,32.32,1335835
2013-02-28,32.56,33.55,32.55,33.33,2176947
2013-03-01,33.36,34.7,33.15,34.44,2191351
2013-03-04,34.8,34.9,34.23,34.35,804119
2013-03-05,34.41,34.48,33.75,34.29,1355986
2013-03-06,34.34,34.38,33.86,33.86,747512
2013-03-07,33.95,34.68,33.56,34.56,1050466
2013-03-08,34.08,34.69,33.8,34.08,1527182
2013-03-11,34.02,34.27,33.25,34.15,1712036
2013-03-12,34.12,34.25,33.6,33.79,1546837
2013-03-13,33.9,34.06,33.08,33.98,1997099
2013-03-14,34.33,35.42,34.3,34.7,1798133
2013-03-15,34.67,34.84,33.31,33.41,1826167
2013-03-18,32.75,32.94,32.64,32.83,2320924
2013-03-19,32.8,33.42,32.33,32.82,1227825
2013-03-20,32.96,33.54,32.5,33.52,1833355
2013-03-21,33.9,34.0,33.29,33.46,499531
2013-03-22,33.55,33.75,32.73,33.13,736061
2013-03-25,33.48,33.48,32.25,32.46,1254111
2013-03-26,32.73,32.79,32.0,32.52,1327325
2013-03-27,32.38,32.9,32.06,32.77,1463277
2013-03-28,32.85,33.5,32.63,33.38,3343456
2013-04-01,33.42,33.59,32.43,32.59,1391057
2013-04-02,32.66,33.14,32.46,32.55,700999
2013-04-03,32.67,32.98,32.36,32.52,1031834
2013-04-04,32.41,32.5,31.71,31.84,1649078
2013-04-05,31.73,32.07,30.57,31.98,3946394
2013-04-08,31.95,32.98,31.77,32.94,1938682
2013-04-09,33.05,33.59,32.56,33.44,1986173
2013-04-10,33.76,33.76,32.98,33.18,957938
2013-04-11,33.22,33.24,32.87,33.15,1821222
2013-04-12,32.97,33.35,32.6,33.19,689329
2013-04-15,33.07,33.23,32.17,32.21,794025
2013-04-16,32.36,33.37,32.29,33.2,2223020
2013-04-17,32.98,33.24,32.17,32.87,3061579
2013-04-18,33.1,33.1,32.38,32.43,618682
2013-04-19,32.71,32.8,31.81,32.71,2147937
2013-04-22,32.9,32.9,32.22,32.64,886106
2013-04-23,32.78,32.96,31.5,31.72,2606532
2013-04-24,31.63,31.69,30.42,30.63,3679230
